09 Jun 2026,FT,China_PR,0,Thailand,0,Friendly 2026,-,Jinhua Sports Center
09 Jun 2026,FT,Philippines,5,Myanmar,1,Three Nations Tournament - Philippines 2026,Tournament,Rizal Memorial Stadium
09 Jun 2026,FT,Timor-Leste,3,Brunei,1,ASEAN Hyundai Cup 2026,Qualifying Round,KLFA Stadium
09 Jun 2026,FT,Vanuatu,2,Fiji,2,Friendly 2026,-,Freshwater Stadium
09 Jun 2026,FT,Spain,3,Peru,1,Friendly 2026,-,Estadio Cuauhtemoc
08 Jun 2026,FT,France,3,Northern_Ireland,1,Friendly 2026,-,Decathlon Arena Stade Pierre Mauroy
08 Jun 2026,FT,Niger,0,Mauritania,1,Friendly 2026,-,Stade Père Jégo
08 Jun 2026,FT,Netherlands,2,Uzbekistan,1,Friendly 2026,-,Icahn Stadium
08 Jun 2026,FT,Sri_Lanka,4,Bhutan,1,Friendly 2026,-,NT Stadium
07 Jun 2026,FT,Colombia,2,Jordan,0,Friendly 2026,-,Snapdragon Stadium
07 Jun 2026,FT,Norway,1,Morocco,1,Friendly 2026,-,Red Bull Arena
07 Jun 2026,FT,Ecuador,3,Guatemala,0,Friendly 2026,-,Lower.com Field
07 Jun 2026,FT,Greece,0,Italy,1,Friendly 2026,-,Pankritio Stadium
07 Jun 2026,FT,Croatia,2,Slovenia,1,Friendly 2026,-,Anđelko Herjavec Stadium
07 Jun 2026,FT,Kosovo,3,Andorra,0,Friendly 2026,-,Fadil Vokrri Stadium
07 Jun 2026,FT,Lesotho,0,Kenya,4,Friendly 2026,-,Lucas 'Masterpieces' Moripe Stadium
07 Jun 2026,FT,Liechtenstein,0,Cyprus,2,Friendly 2026,-,Rheinpark Stadion
07 Jun 2026,FT,Afghanistan,0,Pakistan,2,Diamond Jubilee International Football Tournament,First stage,Rasmee Dhandu (Galolhu) National Stadium
07 Jun 2026,FT,Curaçao,4,Aruba,0,Friendly 2026,-,Ergilio Hato Stadium
07 Jun 2026,FT,Argentina,2,Honduras,0,Friendly 2026,-,Kyle Field
06 Jun 2026,FT,Brazil,2,Egypt,1,Friendly 2026,-,Huntington Bank Field
06 Jun 2026,FT,Venezuela,1,Türkiye,2,Friendly 2026,-,DRV PNK Stadium
06 Jun 2026,FT,Bolivia,0,Scotland,4,Friendly 2026,-,Red Bull Arena
06 Jun 2026,FT,Bermuda,0,Cabo_Verde,3,Friendly 2026,-,Pratt & Whitney Stadium at Rentschler Field
06 Jun 2026,FT,El_Salvador,0,Qatar,0,Friendly 2026,-,BMO Stadium
06 Jun 2026,FT,England,1,New_Zealand,0,Friendly 2026,-,Raymond James Stadium
06 Jun 2026,FT,Switzerland,1,Australia,1,Friendly 2026,-,Snapdragon Stadium
06 Jun 2026,FT,Bosnia_and_Herzegovina,1,Panama,1,Friendly 2026,-,Energizer Park
06 Jun 2026,FT,USA,1,Germany,2,Friendly 2026,-,Soldier Field
06 Jun 2026,FT,Albania,0,Luxembourg,1,Friendly 2026,-,Air Albania Stadium
06 Jun 2026,FT,Portugal,2,Chile,1,Friendly 2026,-,Estádio Nacional
06 Jun 2026,FT,Romania,2,Wales,1,Friendly 2026,-,Stadionul Steaua
06 Jun 2026,FT,Gibraltar,4,Cayman_Islands,1,Friendly 2026,-,Europa Point Stadium
06 Jun 2026,FT,Sierra_Leone,1,Liberia,0,Friendly 2026,-,Southern Arena Stadium
06 Jun 2026,FT,Ethiopia,1,Malawi,0,Friendly 2026,-,Dire Dawa Stadium
06 Jun 2026,FT,Estonia,1,Faroe_Islands,0,Baltic Cup 2026,First stage,Pärnu Rannastaadion
06 Jun 2026,FT,Kyrgyz_Republic,0,Palestine,0,Friendly 2026,-,Dolen Omurzakov Stadium
06 Jun 2026,FT,Armenia,1,Kazakhstan,1,Friendly 2026,-,Vazgen Sargsyan Republican Stadium
06 Jun 2026,FT,Belgium,5,Tunisia,0,Friendly 2026,-,Stade Roi Baudouin
06 Jun 2026,FT,Lithuania,1,Latvia,1,Baltic Cup 2026,First stage,S. Darius & S. Girenas Stadium
06 Jun 2026,FT,Myanmar,6,Guam,1,Three Nations Tournament - Philippines 2026,Tournament,Rizal Memorial Stadium
06 Jun 2026,FT,Vanuatu,2,Fiji,1,Friendly 2026,-,Freshwater Stadium
06 Jun 2026,FT,Puerto_Rico,0,Saudi_Arabia,3,Friendly 2026,-,Q2 Stadium
06 Jun 2026,FT,Peru,2,Haiti,1,Friendly 2026,-,Nu Stadium
05 Jun 2026,FT,Canada,1,Republic_of_Ireland,1,Friendly 2026,-,Saputo Stadium
05 Jun 2026,FT,Paraguay,4,Nicaragua,0,Friendly 2026,-,Estadio Defensores del Chaco
05 Jun 2026,FT,Angola,1,Mauritania,1,Friendly 2026,-,Stade Larbi Zaouli
05 Jun 2026,FT,Benin,1,Niger,1,Friendly 2026,-,Stade Père Jégo
05 Jun 2026,FT,Togo,1,Central_African_Republic,1,Friendly 2026,-,Stade El Bachir
05 Jun 2026,FT,Azerbaijan,0,Malta,2,Friendly 2026,-,Haladás Sportkomplexum
05 Jun 2026,FT,Hungary,2,Finland,1,Friendly 2026,-,Puskás Aréna
05 Jun 2026,FT,Russia,3,Burkina_Faso,0,Friendly 2026,-,Central Stadium
05 Jun 2026,FT,San_Marino,1,Bangladesh,2,Friendly 2026,-,San Marino Stadium
05 Jun 2026,FT,Moldova,2,Bulgaria,2,Friendly 2026,-,Zimbru Stadium
05 Jun 2026,FT,Slovakia,2,Montenegro,2,Friendly 2026,-,Košická futbalová Aréna
05 Jun 2026,FT,Belarus,4,Syria,1,Friendly 2026,-,New National Stadium
05 Jun 2026,FT,Georgia,2,Bahrain,0,Friendly 2026,-,Mikheil Meskhi Stadium (Lokomotivi)
05 Jun 2026,FT,Tajikistan,3,India,1,Friendly 2026,-,Metallurg Stadium
05 Jun 2026,FT,Indonesia,3,Oman,0,Friendly 2026,-,Gelora Bung Karno Stadium
05 Jun 2026,FT,Thailand,2,Kuwait,2,Friendly 2026,-,True BG Stadium
05 Jun 2026,FT,Hong_Kong,2,Mongolia,0,Friendly 2026,-,Hong Kong Stadium
05 Jun 2026,FT,Singapore,1,China_PR,2,Friendly 2026,-,Jalan Besar Stadium
05 Jun 2026,FT,Mexico,5,Serbia,1,Friendly 2026,-,Bombonera - Estadio Nemesio Diez
05 Jun 2026,FT,Guatemala,1,Czechia,3,Friendly 2026,-,Red Bull Arena
04 Jun 2026,FT,France,1,Côte_d_Ivoire,2,Friendly 2026,-,-
04 Jun 2026,FT,Spain,1,Iraq,1,Friendly 2026,-,Estadio Municipal de Riazor
04 Jun 2026,FT,Sweden,2,Greece,2,Friendly 2026,-,Friends Arena
04 Jun 2026,FT,Andorra,2,Liechtenstein,0,Friendly 2026,-,Nou Estadi a Encamp
04 Jun 2026,FT,Mali,0,IR_Iran,2,Friendly 2026,-,Mardan Sports Complex
04 Jun 2026,FT,Northern_Ireland,1,Guinea,0,Friendly 2026,-,Estadio Municipal de La Línea de la Concepción
04 Jun 2026,FT,Slovenia,1,Cyprus,1,Friendly 2026,-,Stožice Stadium
04 Jun 2026,FT,Lebanon,0,Yemen,2,Asian Nations Cup 2027 Prel. Comp.,Round Three,Grand Hamad Stadium
04 Jun 2026,FT,Lesotho,1,Kenya,1,Friendly 2026,-,Lucas 'Masterpieces' Moripe Stadium
04 Jun 2026,FT,Cambodia,4,Bhutan,0,Friendly 2026,-,National Sports Complex (Olympic Stadium)
04 Jun 2026,FT,Maldives,0,Pakistan,3,Diamond Jubilee International Football Tournament,First stage,Rasmee Dhandu (Galolhu) National Stadium
04 Jun 2026,FT,Korea_Republic,1,El_Salvador,0,Friendly 2026,-,BYU South Field
04 Jun 2026,FT,Panama,4,Dominican_Republic,2,Friendly 2026,-,Estadio Rommel Fernandez
03 Jun 2026,FT,Netherlands,0,Algeria,1,Friendly 2026,-,De Kuip
03 Jun 2026,FT,Luxembourg,0,Italy,1,Friendly 2026,-,Stade de Luxembourg
03 Jun 2026,FT,Poland,2,Nigeria,2,Friendly 2026,-,PGE Narodowy (National Stadium)
03 Jun 2026,FT,Albania,0,Israel,1,Friendly 2026,-,Air Albania Stadium
03 Jun 2026,FT,Congo_DR,0,Denmark,0,Friendly 2026,-,Sclessin - Stade Maurice Dufrasne
03 Jun 2026,FT,Gibraltar,4,British_Virgin_Islands,0,Friendly 2026,-,Europa Point Stadium
03 Jun 2026,FT,Philippines,5,Guam,1,Three Nations Tournament - Philippines 2026,Tournament,Rizal Memorial Stadium
03 Jun 2026,FT,Haiti,4,New_Zealand,0,Friendly 2026,-,DRV PNK Stadium
02 Jun 2026,FT,Wales,1,Ghana,1,Friendly 2026,-,Cardiff City Stadium
02 Jun 2026,FT,Morocco,4,Madagascar,0,Friendly 2026,-,Prince Moulay Abdellah Stadium
02 Jun 2026,FT,Georgia,1,Romania,1,Friendly 2026,-,Mikheil Meskhi Stadium (Lokomotivi)
02 Jun 2026,FT,Croatia,0,Belgium,2,Friendly 2026,-,Stadion HNK Rijeka
02 Jun 2026,FT,Canada,2,Uzbekistan,0,Friendly 2026,-,Commonwealth Stadium
01 Jun 2026,FT,Colombia,3,Costa_Rica,1,Friendly 2026,-,Estadio Nemesio Camacho 'El Campin'
01 Jun 2026,FT,Austria,1,Tunisia,0,Friendly 2026,-,Ernst Happel Stadium
01 Jun 2026,FT,Türkiye,4,North_Macedonia,0,Friendly 2026,-,Şükrü Saracoğlu Stadium
01 Jun 2026,FT,Norway,3,Sweden,1,Friendly 2026,-,Ullevaal Stadium
01 Jun 2026,FT,Maldives,0,Afghanistan,1,Diamond Jubilee International Football Tournament,First stage,Rasmee Dhandu (Galolhu) National Stadium
01 Jun 2026,FT,Bulgaria,0,Montenegro,1,Friendly 2026,-,Hristo Botev Stadium
01 Jun 2026,FT,Slovakia,2,Malta,1,Friendly 2026,-,MOL Arena
31 May 2026,FT,Brazil,6,Panama,2,Friendly 2026,-,Maracanã - Estádio Jornalista Mário Filho
31 May 2026,FT,USA,3,Senegal,2,Friendly 2026,-,Bank of America Stadium
31 May 2026,FT,Germany,4,Finland,0,Friendly 2026,-,MEWA Arena
31 May 2026,FT,Poland,0,Ukraine,2,Friendly 2026,-,Municipal Stadium
31 May 2026,FT,Cabo_Verde,3,Serbia,0,Friendly 2026,-,Estádio do Restelo
31 May 2026,FT,Czechia,2,Kosovo,1,Friendly 2026,-,Generali Arena
31 May 2026,FT,Switzerland,4,Jordan,1,Friendly 2026,-,Kybunpark
31 May 2026,FT,Singapore,4,Mongolia,0,Friendly 2026,-,Jalan Besar Stadium
31 May 2026,FT,Japan,1,Iceland,0,Friendly 2026,-,Olympic Stadium
31 May 2026,FT,Mexico,1,Australia,0,Friendly 2026,-,Rose Bowl Stadium
